section,name,kind,detected,count_rate,z,decision_threshold_rate,detection_limit_rate,peak_counts,share_pct,chain_root,decay_chain_root,total_yield_pct,limit_peak_counts,degenerate,collinearity,tied_to,unmeasurable_at
meta,live_time,,,356491.21293,,,,,,,,,,,,,
meta,chi2ndf,,,12.84620442113048,,,,,,,,,,,,,
meta,chi2ndf_pois,,,185.98381866627957,,,,,,,,,,,,,
meta,model_residual,,,0.078191078624190349,,,,,,,,,,,,,
meta,gain,,,0.99548992500157973,,,,,,,,,,,,,
meta,offset_channels,,,-3.6244971521000706,,,,,,,,,,,,,
meta,cascade_summing,,,1,,,,,,,,,,,,,
meta,response_matrix,,,1,,,,,,,,,,,,,
component,Cs-137,Single,1,6740.863509495679,1216.973441232446,1.0622797403246771,2.1299556526317467,100274397.56366785,94.321680294843873,,,,,,,,
component,Xray-Pb-L,Nuisance,1,15716.06077127465,65.442376495311748,,,1233978.6021446544,0.49943694951842815,,,,,,,,
component,Xray-Pb,Nuisance,1,11.789410371316389,26.677227194595481,,,1151449.6796246557,0.64173478117910465,,,,,,,,
component,pile-up,Nuisance,1,1.6322208772966129,35.815778811223979,,,0,0.33510778725306539,,,,,,,,
component,Backscatter,Nuisance,1,1.9657223449031351,94.68123833280238,,,8042968.5268515339,3.3340611203053578,,,,,,,,
limit,K-40,Single,0,0,,3.9130038844077193,7.9647190633225291,,,,,11.659864963234696,3062.433560633679,0,0.573878839908718,,
limit,Cs-137,Single,1,6740.863509495679,,1.0622797403246771,2.1299556526317467,,,,,93.022854252,31684.370942107438,0,0.68300088539102666,,
untied_tail,Cs-137,layer,,,,,,13984949.03371587,,,,,,,,,
untied_tail,Xray-Pb,layer,,,,,,433210.06034835929,,,,,,,,,
tail_in_layer,Cs-137,Single,,,,,,13984949.03371587,,,,,,,,,
tail_in_layer,Xray-Pb,Nuisance,,,,,,433210.06034835929,,,,,,,,,
grey,below_floor,,,,,,,2144599.2565538143,0.86797906690014937,,,,,,,,
grey,above_lines,,,,,,,0,0,,,,,,,,
grey,spread_floor,,,100,,,,282,,,,,,,,,
grey,residual_floor,,,5,,,,35,,,,,,,,,
grey,residual_missing,,,0.030101520261640809,,,,,,,,,,,,,
grey,residual_excess,,,0.023279344189357266,,,,,,,,,,,,,
