E_keV;icrp119_Ka_over_phi_pGycm2;app_Ka_over_phi_pGycm2;diff_percent;app_mu_en_rho_m2kg
10;7.6;7.59475;-0.06903;0.474027
15;3.21;3.20676;-0.1011;0.133433
20;1.73;1.72901;-0.0575;0.053958
30;0.739;0.740603;0.2168;0.0154083
40;0.438;0.439395;0.3185;0.00685622
50;0.328;0.329461;0.4454;0.00411267
60;0.292;0.293269;0.4346;0.00305074
70;0.297;0.291832;-1.74;0.00260211
80;0.308;0.309147;0.3724;0.00241193
100;0.372;0.373085;0.2917;0.00232861
150;0.6;0.600143;0.02387;0.0024972
200;0.856;0.856839;0.09807;0.00267399
300;1.38;1.38129;0.09356;0.00287378
400;1.89;1.89143;0.07543;0.00295134
500;2.38;2.3788;-0.05051;0.00296946
600;2.84;2.84221;0.07769;0.00295661
800;3.69;3.70056;0.2861;0.00288713
1000;4.47;4.47706;0.1578;0.00279436
2000;7.51;7.54584;0.4773;0.00235487
4000;12;12.113;0.942;0.00189009
6000;15.8;16.1389;2.145;0.00167886
8000;19.5;20.0861;3.005;0.00156709
10000;23.2;24.0757;3.774;0.00150269
